NNR HeNR MRCI1
0.7 1.0499999999999998 -2984.0427147844816
0.7 1.15 -2990.876024246276
0.7 1.25 -2995.971668375916
0.7 1.35 -2999.41256029732
0.7 1.4500000000000002 -3001.655432409466
0.7 1.5499999999999998 -3003.0685773528708
0.7 1.65 -3003.927475138232
0.7 1.75 -3004.4281348939357
0.7 1.85 -3004.704238045604
0.7 1.9500000000000002 -3004.84144334702
0.7 2.05 -3004.8888428778864
0.7 2.15 -3004.867144510636
0.7 2.25 -3004.704790436945
0.7 2.35 -3004.7914151952896
0.7 2.45 -3004.824534185483
0.7 2.5500000000000003 -3004.844784906461
0.7 2.65 -3004.856425941712
0.7 2.75 -3004.862450544809
0.7 2.85 -3004.8648941281785
0.7 2.95 -3004.815968037991
0.7 3.0500000000000003 -3004.8262757148336
0.7 3.15 -3004.8328744783876
0.7 3.25 -3004.8370187740134
0.7 3.35 -3004.839535828153
0.7 3.45 -3004.840991637844
0.7 3.5500000000000003 -3004.841739951237
0.7 3.65 -3004.8420746514093
0.7 3.75 -3004.8421263530618
0.7 3.85 -3004.842033834315
0.7 3.95 -3004.84185968138
0.7 4.05 -3004.84165287477
0.7 4.1499999999999995 -3004.8414379047404
0.7 4.25 -3004.84123109813
0.7 4.35 -3004.8410406183575
0.7 4.449999999999999 -3004.840866465422
0.7 4.55 -3004.8407031970455
0.7 4.6499999999999995 -3004.8405535343672
0.7 4.75 -3004.840414756247
0.7 4.85 -3004.840259651289
0.7 4.949999999999999 -3004.840175295961
0.7 5.05 -3004.8400854983543
0.7 5.1499999999999995 -3004.839941277955
0.7 5.25 -3004.8398814128836
0.7 5.35 -3004.8410460606365
0.8 1.1 -3003.6959551379337
0.8 1.2000000000000002 -3010.9056771208398
0.8 1.3 -3015.9629912779337
0.8 1.4 -3019.3517597701075
0.8 1.5 -3021.5502582586337
0.8 1.6 -3022.928450163748
0.8 1.7000000000000002 -3023.7609501737525
0.8 1.7999999999999998 -3024.2428748832417
0.8 1.9 -3024.506566917149
0.8 2 -3024.6338400589875
0.8 2.1 -3024.6627902632986
0.8 2.2 -3024.583697619394
0.8 2.3 -3024.2967752166364
0.8 2.4 -3024.327366268132
0.8 2.5 -3024.420766664106
0.8 2.6 -3024.473151322738
0.8 2.6999999999999997 -3024.5043002078537
0.8 2.8 -3024.5229236873447
0.8 2.9 -3024.5338300149015
0.8 3 -3024.52079303503
0.8 3.1 -3024.5274026831426
0.8 3.1999999999999997 -3024.531612286119
0.8 3.3 -3024.5341293402585
0.8 3.4 -3024.5355089580407
0.8 3.5 -3024.5361402624303
0.8 3.6 -3024.5362980885275
0.8 3.6999999999999997 -3024.536170194966
0.8 3.8 -3024.5358817541673
0.8 3.9 -3024.535519842599
0.8 4 -3024.535133440774
0.8 4.1000000000000005 -3024.5347579235086
0.8 4.2 -3024.534409617638
0.8 4.3 -3024.534091244304
0.8 4.4 -3024.5338055246452
0.8 4.5 -3024.5335497375213
0.8 4.6000000000000005 -3024.533318440655
0.8 4.7 -3024.5331116340444
0.8 4.800000000000001 -3024.5329184331317
0.8 4.9 -3024.5327415590573
0.8 5 -3024.5325782906807
0.8 5.1000000000000005 -3024.532428628002
0.8 5.2 -3024.532289849882
0.8 5.300000000000001 -3024.5321619563206
0.8 5.4 -3024.532659924869
0.9 1.15 -3013.1207473495906
0.9 1.25 -3020.5539646920847
0.9 1.35 -3025.5465266110195
0.9 1.45 -3028.8844642152785
0.9 1.55 -3031.0514573493997
0.9 1.65 -3032.41439998814
0.9 1.75 -3033.2442033487905
0.9 1.8499999999999999 -3033.7308954948767
0.9 1.95 -3033.9963998077637
0.9 2.0500000000000003 -3034.102143293009
0.9 2.15 -3034.0604336650667
0.9 2.25 -3033.895181577691
0.9 2.35 -3033.974910968264
0.9 2.45 -3034.129455371274
0.9 2.5500000000000003 -3034.2259551452635
0.9 2.6500000000000004 -3034.2875481403357
0.9 2.75 -3034.326786973512
0.9 2.85 -3034.351530295986
0.9 2.95 -3034.3668884079448
0.9 3.0500000000000003 -3034.376194705411
0.9 3.1500000000000004 -3034.381631542352
0.9 3.25 -3034.384616632504
0.9 3.35 -3034.386066999916
0.9 3.45 -3034.3865676896044
0.9 3.5500000000000003 -3034.386496939974
0.9 3.6500000000000004 -3034.386096932452
0.9 3.75 -3034.3855282142736
0.9 3.85 -3034.3848914676046
0.9 3.95 -3034.384251999796
0.9 4.05 -3034.383645185663
0.9 4.15 -3034.3830873520433
0.9 4.25 -3034.3825866623547
0.9 4.35 -3034.3821431165984
0.9 4.45 -3034.3817512724945
0.9 4.55 -3034.381400245485
0.9 4.65 -3034.38108731443
0.9 4.75 -3034.3808043159106
0.9 4.8500000000000005 -3034.3805458076476
0.9 4.95 -3034.380311789641
0.9 5.05 -3034.3800995407514
0.9 5.15 -3034.379906339839
0.9 5.25 -3034.3797294657643
0.9 5.3500000000000005 -3034.3795689185276
0.9 5.45 -3034.379427419268
1 1.2 -3017.236362164131
1 1.3 -3024.7217328683905
1 1.4 -3029.613049345856
1 1.5 -3032.8860605590203
1 1.6 -3035.0212354076825
1 1.7 -3036.377459552725
1 1.8 -3037.2196440986013
1 1.9 -3037.7324591849438
1 2 -3038.0317818209037
1 2.1 -3038.1764920253636
1 2.2 -3038.191052843417
1 2.3 -3038.1050866008577
1 2.4 -3038.111062223441
1 2.5 -3038.2718543629962
1 2.6 -3038.3714399093033
1 2.7 -3038.4340642162874
1 2.8 -3038.4736649610322
1 2.9 -3038.4985307347883
1 3 -3038.5139051735846
1 3.1 -3038.5231869807944
1 3.2 -3038.528585721781
1 3.3 -3038.5315354371182
1 3.4 -3038.5329558719945
1 3.5 -3038.533429350287
1 3.6 -3038.5333341104
1 3.7 -3038.5329150549005
1 3.8 -3038.5323300098844
1 3.9 -3038.5316850997965
1 4 -3038.531040189709
1 4.1 -3038.5304360967157
1 4.2 -3038.529880984235
1 4.3 -3038.5293884579655
1 4.4 -3038.5289476333487
1 4.5 -3038.528555789245
1 4.6 -3038.528204762235
1 4.7 -3038.527886388901
1 4.8 -3038.527597948102
