"""HeNR (Jacobi)"" 	NNR 	MRCI1"
"1.0499999999999998 	0.7 	-2973.158463833257"
"1.1 	0.8 	-2995.922053837407"
"1.15 	0.9 	-3008.059005898351"
"1.2 	1 	-3014.2057500674255"
"1.25 	1.1 	-3016.965102640969"
"1.2999999999999998 	1.2 	-3017.8324686127958"
"1.35 	1.3 	-3017.6903570966633"
"1.4 	1.4 	-3017.076408135576"
"1.45 	1.5 	-3017.007489832674"
"1.5 	1.6 	-3017.9445659590297"
"1.5499999999999998 	1.7 	-3018.5967278836606"
"1.6 	1.8 	-3019.0136119141916"
"1.65 	1.9 	-3019.3565816294968"
"1.7 	2 	-3018.403077983315"
"1.75 	2.1 	-3018.535197474799"
"1.8 	2.2 	-3018.6087498784577"
"1.8499999999999999 	2.3 	-3018.6413464098455"
"1.9 	2.4 	-3018.6461056830235"
"1.95 	2.5 	-3018.632589782581"
"2 	2.6 	-3018.6075770672855"
"2.05 	2.7 	-3018.5757478972673"
"2.0999999999999996 	2.8 	-3018.54028600587"
"2.15 	2.9 	-3018.5033438145247"
"2.2 	3 	-3018.466352642666"
"2.25 	3.1 	-3018.430245841181"
"2.3 	3.2 	-3018.395592128248"
"2.3499999999999996 	3.3 	-3018.362701713782"
"2.4 	3.4 	-3018.331707933624"
"2.45 	3.5 	-3018.302618951193"
"2.5 	3.6 	-3018.275364016859"
"2.55 	3.7 	-3018.249845169597"
"2.5999999999999996 	3.8 	-3018.2259317947037"
"2.65 	3.9 	-3018.203506883178"
"2.7 	4 	-3018.182447983736"
"2.75 	4.1 	-3018.1626571353527"
"2.8 	4.2 	-3018.1440581461184"
"2.8499999999999996 	4.3 	-3018.1265639395656"
"2.9000000000000004 	4.4 	-3018.110122814042"
"2.95 	4.5 	-3018.094672183336"
"3 	4.6 	-3018.080165788075"
"3.05 	4.7 	-3018.0665492054673"
"3.0999999999999996 	4.8 	-3018.053765291579"
"3.2 	5 	-3018.0902340046323"
"1.15 	0.7 	-2977.073375553583"
"1.2000000000000002 	0.8 	-2999.7781998267155"
"1.25 	0.9 	-3011.8995978536486"
"1.3 	1 	-3018.0572102543256"
"1.35 	1.1 	-3020.840236742476"
"1.4 	1.2 	-3021.7392386834085"
"1.4500000000000002 	1.3 	-3021.6387959781246"
"1.5 	1.4 	-3021.052616246757"
"1.55 	1.5 	-3021.953961088894"
"1.6 	1.6 	-3022.6851449077994"
"1.65 	1.7 	-3023.201802243271"
"1.7000000000000002 	1.8 	-3023.5201837410596"
"1.75 	1.9 	-3023.824360890084"
"1.8 	2 	-3022.8551644317718"
"1.85 	2.1 	-3022.975833367777"
"1.9000000000000001 	2.2 	-3023.0429720453744"
"1.95 	2.3 	-3023.0723630743023"
"2 	2.4 	-3023.0760284493567"
"2.05 	2.5 	-3023.0628091531316"
"2.1 	2.6 	-3023.038996460404"
"2.1500000000000004 	2.7 	-3023.008938752272"
"2.2 	2.8 	-3022.975593907491"
"2.25 	2.9 	-3022.940961963675"
"2.3 	3 	-3022.9063681158127"
"2.35 	3.1 	-3022.8726586383245"
"2.4000000000000004 	3.2 	-3022.8403532688744"
"2.45 	3.3 	-3022.8097268425636"
"2.5 	3.4 	-3022.7808827626977"
"2.55 	3.5 	-3022.753815586997"
"2.6500000000000004 	3.7 	-3022.704688132478"
"2.7 	3.8 	-3022.682401999072"
"2.75 	3.9 	-3022.66148459889"
"2.8 	4 	-3022.641824365208"
"2.8499999999999996 	4.1 	-3022.6233342215583"
"2.9000000000000004 	4.2 	-3022.6059570240086"
"2.95 	4.3 	-3022.589608417232"
"3 	4.4 	-3022.574242141854"
"3.05 	4.5 	-3022.559811938502"
"3.0999999999999996 	4.6 	-3022.5462661055235"
"3.1500000000000004 	4.7 	-3022.5335529412655"
"3.2 	4.8 	-3022.521620744076"
"3.25 	4.9 	-3022.5104096488826"
"3.3 	5 	-3024.1166439378735"
"1.25 	0.7 	-2978.3809266744215"
"1.3 	0.8 	-3001.0426154424563"
"1.35 	0.9 	-3013.1630882819222"
"1.4 	1 	-3019.347457648384"
"1.4500000000000002 	1.1 	-3022.177002018167"
"1.5 	1.2 	-3023.1734071514406"
"1.55 	1.3 	-3023.7097628165484"
"1.6 	1.4 	-3024.3292329699048"
"1.65 	1.5 	-3024.7969125135355"
"1.7000000000000002 	1.6 	-3025.2197041381605"
"1.75 	1.7 	-3025.57484823208"
"1.8 	1.8 	-3025.82366379574"
"1.85 	1.9 	-3025.92350512917"
"1.9 	2 	-3024.9540637682926"
"1.9500000000000002 	2.1 	-3025.059989569891"
"2 	2.2 	-3025.119574363931"
"2.1 	2.4 	-3025.149471524826"
"2.15 	2.5 	-3025.137988315672"
"2.2 	2.6 	-3025.1170818000483"
"2.25 	2.7 	-3025.0906377653187"
"2.3 	2.8 	-3025.061306601462"
"2.35 	2.9 	-3025.030867933785"
"2.4 	3 	-3025.000502736877"
"2.5 	3.2 	-3024.94270573156"
"2.55 	3.3 	-3024.9159542080542"
"2.6 	3.4 	-3024.8907918300806"
"2.65 	3.5 	-3024.8671968285225"
"2.7 	3.6 	-3024.84509573261"
"2.75 	3.7 	-3024.8243987447363"
"2.8 	3.8 	-3024.8049861347586"
"2.85 	3.9 	-3024.7867681050698"
"2.9 	4 	-3024.7696521369226"
"2.9499999999999997 	4.1 	-3024.753564759548"
"3 	4.2 	-3024.738448829015"
"3.1 	4.4 	-3024.7109000116034"
"3.15 	4.5 	-3024.6983800482576"
"1.35 	0.7 	-2978.293599862058"
"1.4 	0.8 	-3000.853841824292"
"1.45 	0.9 	-3013.77012826954"
"1.5 	1 	-3020.595913780313"
"1.55 	1.1 	-3024.042261586634"
"1.6 	1.2 	-3025.737545169362"
"1.65 	1.3 	-3026.3884608120516"
"1.7 	1.4 	-3026.622642086888"
"1.8 	1.6 	-3026.8308446418678"
"1.85 	1.7 	-3026.9453801291925"
"1.9 	1.8 	-3027.0546828650467"
"1.95 	1.9 	-3026.929358059169"
"2 	2 	-3026.676996850598"
"2.05 	2.1 	-3026.076539299697"
"2.1 	2.2 	-3026.1262844529074"
"2.15 	2.3 	-3026.1488671905304"
"2.2 	2.4 	-3026.152464537095"
"2.25 	2.5 	-3026.143463007265"
"2.3 	2.6 	-3026.1265266343325"
